  latitude    longitude tot.catch 
  40.55000   -71.55000    0.00000
  40.46667   -71.51667    0.00000
  40.51667   -71.71667    0.00000
  40.38333   -71.85000    1.00000
  40.31667   -71.78333    0.00000
  40.26667   -71.88333    0.00000
  40.13333   -72.08333    2.00000
  40.06667   -72.16667    0.00000
  40.10000   -72.31667    7.00000
  40.01667   -72.40000   13.00000
  39.90000   -72.56667  530.00000
  39.81667   -72.48333 2750.00000
  39.85000   -72.58333 2060.00000
  39.81667   -72.68333 1016.00000
  39.76667   -72.73333 1206.00000
  39.68333   -72.61667   30.00000
  39.58333   -72.65000  110.00000
  39.50000   -72.53333    0.00000
  39.43333   -72.63333    0.00000
  39.46667   -72.66667  722.00000
  39.43333   -72.73333   41.00000
  39.40000   -72.80000   39.00000
  39.31667   -72.73333    0.00000
  39.33333   -72.85000   94.00000
  39.26667   -72.81667    7.00000
  39.21667   -72.78333    0.00000
  38.96667   -72.98333    0.00000
  38.86667   -73.18333   33.00000
  38.76667   -73.18333    0.00000
  38.65000   -73.25000    0.00000
  38.60000   -73.38333    1.00000
  38.68333   -73.61667  344.00000
  38.65000   -73.53333  942.00000
  38.73333   -73.51667  758.00000
  38.76667   -73.60000   83.00000
  38.81667   -73.70000   60.00000
  38.93333   -73.51667   27.00000
  38.88333   -73.43333  119.00000
  38.85000   -73.35000  482.00000
  38.93333   -73.28333  151.00000
  39.01667   -73.48333   20.00000
  39.15000   -73.55000   16.00000
  39.13333   -73.45000   26.00000
  39.23333   -73.31667   18.00000
  39.30000   -73.31667   30.00000
  39.33333   -73.21667   55.00000
  39.21667   -73.13333   86.00000
  39.13333   -73.15000 1336.00000
  39.10000   -73.18333  239.00000
  39.01667   -73.15000  459.00000
  39.06667   -73.08333  229.00000
  39.18333   -73.10000  105.00000
  39.28333   -72.98333  557.00000
  39.31667   -72.93333 5056.00000
  39.38333   -72.91667 2500.00000
  39.38333   -73.11667  264.00000
  39.51667   -73.11667   10.00000
  39.51667   -73.15000    8.00000
  39.65000   -73.06667   28.00000
  39.65000   -72.98333   46.00000
  39.55000   -72.96667  370.00000
  39.60000   -72.88333  316.00000
  39.51667   -72.88333  970.00000
  39.48333   -72.85000  476.00000
  39.50000   -72.73333 7084.00000
  39.55000   -72.80000 3246.00000
  39.63333   -72.76667  322.00000
  39.71667   -72.85000    0.00000
  39.80000   -72.95000    0.00000
  39.71667   -73.00000   16.00000
  39.71667   -73.05000   17.00000
  39.76667   -73.11667   15.00000
  39.81667   -73.06667   17.00000
  39.88333   -73.25000   41.00000
  39.93333   -73.28333    4.00000
  39.90000   -73.35000  139.00000
  39.98333   -73.35000    0.00000
  40.01667   -73.28333    5.00000
  40.03333   -73.36667    3.00000
  40.00000   -73.45000   21.00000
  40.05000   -73.48333    0.00000
  40.11667   -73.56667   14.00000
  40.15000   -73.55000    4.00000
  40.13333   -73.61667    0.00000
  40.16667   -73.66667    1.00000
  40.21667   -73.55000    0.00000
  40.15000   -73.28333    9.00000
  39.98333   -73.05000   13.00000
  39.90000   -73.11667    3.00000
  39.85000   -72.98333    3.00000
  39.90000   -72.91667  114.00000
  39.85000   -72.78333  471.00000
  39.98333   -72.58333  842.00000
  39.98333   -72.75000  326.00000
  39.98333   -72.81667   52.00000
  40.10000   -72.91667   22.00000
  40.18333   -72.85000   21.00000
  40.10000   -72.81667   26.00000
  40.06667   -72.51667   91.00000
  40.15000   -72.55000   70.00000
  40.18333   -72.45000   35.00000
  40.21667   -72.51667   42.00000
  40.23333   -72.68333   42.00000
  40.31667   -72.61667   20.00000
  40.40000   -72.68333   17.00000
  40.51667   -72.68333   25.00000
  40.55000   -72.48333   19.00000
  40.45000   -72.53333   20.00000
  40.46667   -72.46667   41.00000
  40.40000   -72.41667   46.00000
  40.31667   -72.43333   30.00000
  40.31667   -72.35000   21.00000
  40.23333   -72.35000   37.00000
  40.18333   -72.30000  290.00000
  40.23333   -72.18333  207.00000
  40.91667   -71.76667  297.00000
  40.86667   -71.80000   46.00000
  40.86667   -71.85000   23.00000
  40.90000   -71.95000    1.00000
  40.85000   -72.06667    9.00000
  40.81667   -72.18333   20.00000
  40.81667   -72.30000    0.00000
  40.81667   -72.38333    0.00000
  40.78333   -72.35000   33.00000
  40.66667   -72.38333   28.00000
  40.58333   -72.38333  159.00000
  40.61667   -72.31667   62.00000
  40.56667   -72.25000   76.00000
  40.56667   -72.18333  106.00000
  40.53333   -72.18333   71.00000
  40.50000   -72.31667   50.00000
  40.43333   -72.28333   68.00000
  40.35000   -72.25000   24.00000
  40.31667   -72.15000   26.00000
  40.36667   -72.10000   11.00000
  40.45000   -71.96667    3.00000
  40.56667   -71.98333   26.00000
  40.60000   -72.01667   34.00000
  40.60000   -72.13333   75.00000
  40.65000   -72.16667  143.00000
  40.65000   -72.08333   62.00000
  40.70000   -72.05000   31.00000
  40.73333   -72.05000  230.00000
  40.71667   -71.98333    8.00000
  40.66667   -71.83333  114.00000
  40.73333   -71.88333    8.00000
  40.76667   -71.91667    8.00000
  40.75000   -71.83333   38.00000
